COMNAM_crsp	CNAME_ibes	new_ibes2	new_crsp2	id
ACTIVE NETWORK INC	ACTIVE NETWORK INC	ACTIVE NETWORK	ACTIVE NETWORK	114
ACTIVE POWER INC	ACTIVE POWER INC	ACTIVE POWER	ACTIVE POWER	115
ACTIVIDENTITY CORP	ACTIVIDENTITY CORPORATION	ACTIVIDENTITY	ACTIVIDENTITY	116
ACTIVISION BLIZZARD INC	ACTIVISION BLIZZARD INC	ACTIVISION BLIZZARD	ACTIVISION BLIZZARD	117
ACTUA CORP	ACTUA CORP	ACTUA	ACTUA	118
ACTUANT CORP	ACTUANT CORPORATION	ACTUANT	ACTUANT	119
ACTUATE CORP	ACTUATE CORPORATION	ACTUATE	ACTUATE	120
ACUITY BRANDS INC	ACUITY BRANDS INC	ACUITY BRANDS	ACUITY BRANDS	121
ACURA PHARMACEUTICALS INC	ACURA PHARMACEUTICALS INC	ACURA PHARMACEUTICALS	ACURA PHARMACEUTICALS	122
ACUSHNET HOLDINGS CORP	ACUSHNET HOLDINGS CORP	ACUSHNET HOLDINGS	ACUSHNET HOLDINGS	123
ACXIOM CORP	ACXIOM CP	ACXIOM	ACXIOM	124
ACXIOM HOLDINGS INC	ACXIOM CORPORATION	ACXIOM	ACXIOM HOLDINGS	125
ADA ES INC	ADA-ES INC	ADAES	ADA ES	126
ADAMAS PHARMACEUTICALS INC	ADAMAS PHARMACEUTICALS INC	ADAMAS PHARMACEUTICALS	ADAMAS PHARMACEUTICALS	127
ADAMIS PHARMACEUTICALS CORP	ADAMIS PHARMACEUTICALS CORP	ADAMIS PHARMACEUTICALS	ADAMIS PHARMACEUTICALS	128
ADAMS GOLF INC	ADAMS GOLF INC	ADAMS GOLF	ADAMS GOLF	129
ADAMS RESOURCES & ENERGY INC	ADAMS RESOURCES & ENERGY INC.	ADAMS RESOURCES  ENERGY	ADAMS RESOURCES  ENERGY	130
ADAPTEC INC	ADAPTEC INC	ADAPTEC	ADAPTEC	131
ADCARE HEALTH SYSTEMS INC	ADCARE HEALTH SYSTEMS INC	ADCARE HEALTH SYSTEMS	ADCARE HEALTH SYSTEMS	132
ADDUS HOMECARE CORP	ADDUS HOMECARE CORP	ADDUS HOMECARE	ADDUS HOMECARE	133
ADDVANTAGE TECHNOLOGIES GRP INC	ADDVANTAGE TECHNOLOGIES GROUP IN	ADDVANTAGE TECHNOLOGY GROUP IN	ADDVANTAGE TECHNOLOGY GROUP	134
ADEONA PHARMACEUTICALS INC	ADEONA PHARMACEUTICALS INC	ADEONA PHARMACEUTICALS	ADEONA PHARMACEUTICALS	135
ADEPT TECHNOLOGY INC	ADEPT TECHNOLOGY INC	ADEPT TECHNOLOGY	ADEPT TECHNOLOGY	136
ADEPTUS HEALTH INC	ADEPTUS HEALTH INC	ADEPTUS HEALTH	ADEPTUS HEALTH	137
ADESTO TECHNOLOGIES CORP	ADESTO TECHNOLOGIES CORP	ADESTO TECHNOLOGY	ADESTO TECHNOLOGY	138
ADIAL PHARMACEUTICALS INC	ADIAL PHARMACEUTICALS INC	ADIAL PHARMACEUTICALS	ADIAL PHARMACEUTICALS	139
ADMA BIOLOGICS INC	ADMA BIOLOGICS INC	ADMA BIOLOGICS	ADMA BIOLOGICS	140
ADMINISTAFF INC	ADMINISTAFF INC	ADMINISTAFF	ADMINISTAFF	141
ADOBE INC	ADOBE SYS INC	ADOBE SYS	ADOBE	142
ADOBE SYSTEMS INC	ADOBE SYSTEMS INCORPORATED	ADOBE SYSTEMS	ADOBE SYSTEMS	143
ADOLOR CORP	ADOLOR CORP	ADOLOR	ADOLOR	144
ADTALEM GLOBAL EDUCATION INC	ADTALEM GLOBAL EDUCATION INC	ADTALEM GLOBAL EDUCATION	ADTALEM GLOBAL EDUCATION	145
ADTRAN INC	ADTRAN INC.	ADTRAN	ADTRAN	146
ADURO BIOTECH INC	ADURO BIOTECH INC	ADURO BIOTECH	ADURO BIOTECH	147
ADVANCE AMERICA CASH ADV CTRS IN	ADVANCE AMERICA CASH ADVANCE CEN	ADVANCE AMERICA CASH ADVANCE CEN	ADVANCE AMERICA CASH ADV CTRS IN	148
ADVANCE AUTO PARTS INC	ADVANCE AUTO PARTS	ADVANCE AUTO PARTS	ADVANCE AUTO PARTS	149
ADVANCED ANALOGIC TCHNLGS INC	ADVANCED ANALOGIC TECHNOLOGIES I	ADVANCED ANALOGIC TECHNOLOGY I	ADVANCED ANALOGIC TCHNLGS	150
ADVANCED BATTERY TECHNOLS INC	ADVANCED BATTERY TECHNOLOGIES	ADVANCED BATTERY TECHNOLOGY	ADVANCED BATTERY TECHNOLS	151
ADVANCED DISPOSAL SERVICES INC	ADVANCED DISPOSAL SERVICES INC	ADVANCED DISPOSAL SERVICES	ADVANCED DISPOSAL SERVICES	152
ADVANCED DRAINAGE SYSTEMS INC	ADVANCED DRAINAGE SYSTEMS INC	ADVANCED DRAINAGE SYSTEMS	ADVANCED DRAINAGE SYSTEMS	153
ADVANCED EMISSIONS SOLUTIONS INC	ADA-ES INC	ADAES	ADVANCED EMISSIONS SOLUTIONS	154
ADVANCED ENERGY INDUSTRIES INC	ADVANCED ENERGY INDUSTRIES INC	ADVANCED ENERGY INDUSTRIES	ADVANCED ENERGY INDUSTRIES	155
ADVANCED MICRO DEVICES INC	ADV MICRO DEVICE	ADV MICRO DEVICE	ADVANCED MICRO DEVICES	156
ADVANCED PHOTONIX INC	ADVANCED PHOTONIX INC	ADVANCED PHOTONIX	ADVANCED PHOTONIX	157
ADVANCEPIERRE FOODS HOLDINGS INC	ADVANCEPIERRE FOODS HOLDINGS INC	ADVANCEPIERRE FOODS HOLDINGS	ADVANCEPIERRE FOODS HOLDINGS	158
ADVANSIX INC	ADVANSIX INC	ADVANSIX	ADVANSIX	159
ADVAXIS INC	ADVAXIS INC	ADVAXIS	ADVAXIS	160
ADVENT SOFTWARE INC	ADVENT SOFTWARE INC	ADVENT SOFTWARE	ADVENT SOFTWARE	161
ADVENTRX PHARMACEUTICALS INC	ADVENTRX PHARAMCEUTICALS INC. IN	ADVENTRX PHARAMCEUTICALS INC IN	ADVENTRX PHARMACEUTICALS	162
ADVERUM BIOTECHNOLOGIES INC	ADVERUM BIOTECHNOLOGIES INC	ADVERUM BIOTECHNOLOGIES	ADVERUM BIOTECHNOLOGIES	163
ADVISORY BOARD CO	ADVISORY BOARD CO.	ADVISORY BOARD	ADVISORY BOARD	164
ADVOCAT INC	ADVOCAT INC	ADVOCAT	ADVOCAT	165
AEGERION PHARMACEUTICALS INC	AEGERION PHARMACEUTICALS INC	AEGERION PHARMACEUTICALS	AEGERION PHARMACEUTICALS	166
AEGION CORP	AEGION CORP	AEGION	AEGION	167
AEGLEA BIOTHERAPEUTICS INC	AEGLEA BIO THERAPEUTICS INC	AEGLEA BIO THERAPEUTICS	AEGLEA BIOTHERAPEUTICS	168
